algorithm,size,seconds,speedup
bitonic_sort,4194304,0.00203,12.317
thrust_sort,4194304,0.00062,40.255
radix_sort_tbb,4194304,0.00390,6.217
gpu_radix_sort_opt_2,4194304,0.01667,1.455
bitonic_sort,4194304,0.00203,11.936
thrust_sort,4194304,0.00061,39.526
radix_sort_tbb,4194304,0.00430,6.097
gpu_radix_sort_opt_2,4194304,0.01667,1.574
bitonic_sort,4194304,0.00203,12.913
thrust_sort,4194304,0.00061,42.806
radix_sort_tbb,4194304,0.00406,6.091
gpu_radix_sort_opt_2,4194304,0.01669,1.482
bitonic_sort,4194304,0.00203,12.163
thrust_sort,4194304,0.00060,41.223
radix_sort_tbb,4194304,0.00367,6.731
gpu_radix_sort_opt_2,4194304,0.01670,1.479
bitonic_sort,4194304,0.00203,12.150
thrust_sort,4194304,0.00061,40.172
radix_sort_tbb,4194304,0.00459,5.359
gpu_radix_sort_opt_2,4194304,0.01668,1.474
bitonic_sort,4194304,0.00203,12.091
thrust_sort,4194304,0.00062,39.459
radix_sort_tbb,4194304,0.00470,5.203
gpu_radix_sort_opt_2,4194304,0.01667,1.467
bitonic_sort,4194304,0.00203,12.030
thrust_sort,4194304,0.00062,39.513
radix_sort_tbb,4194304,0.00388,6.340
gpu_radix_sort_opt_2,4194304,0.01667,1.476
bitonic_sort,4194304,0.00203,12.118
thrust_sort,4194304,0.00063,39.132
radix_sort_tbb,4194304,0.00428,5.705
gpu_radix_sort_opt_2,4194304,0.01672,1.462
bitonic_sort,4194304,0.00203,12.013
thrust_sort,4194304,0.00062,39.476
radix_sort_tbb,4194304,0.00497,4.961
gpu_radix_sort_opt_2,4194304,0.01668,1.477
bitonic_sort,4194304,0.00203,12.123
thrust_sort,4194304,0.00063,39.363
radix_sort_tbb,4194304,0.00390,6.316
gpu_radix_sort_opt_2,4194304,0.01668,1.478
bitonic_sort,4194304,0.00203,12.120
thrust_sort,4194304,0.00065,38.214
radix_sort_tbb,4194304,0.00419,5.901
gpu_radix_sort_opt_2,4194304,0.01670,1.482
bitonic_sort,4194304,0.00203,12.163
thrust_sort,4194304,0.00062,40.037
radix_sort_tbb,4194304,0.00457,5.482
gpu_radix_sort_opt_2,4194304,0.01671,1.498
bitonic_sort,4194304,0.00203,12.316
thrust_sort,4194304,0.00061,40.701
radix_sort_tbb,4194304,0.00374,7.231
gpu_radix_sort_opt_2,4194304,0.01669,1.619
bitonic_sort,4194304,0.00203,13.297
thrust_sort,4194304,0.00061,43.991
radix_sort_tbb,4194304,0.00466,5.211
gpu_radix_sort_opt_2,4194304,0.01670,1.455
bitonic_sort,4194304,0.00203,11.959
thrust_sort,4194304,0.00063,38.497
radix_sort_tbb,4194304,0.00427,5.659
gpu_radix_sort_opt_2,4194304,0.01669,1.449
bitonic_sort,4194304,0.00203,11.905
thrust_sort,4194304,0.00063,38.675
radix_sort_tbb,4194304,0.00483,5.044
gpu_radix_sort_opt_2,4194304,0.01667,1.461
bitonic_sort,4194304,0.00203,11.980
thrust_sort,4194304,0.00061,39.719
radix_sort_tbb,4194304,0.00406,6.051
gpu_radix_sort_opt_2,4194304,0.01667,1.474
bitonic_sort,4194304,0.00203,12.081
thrust_sort,4194304,0.00062,39.564
radix_sort_tbb,4194304,0.00344,7.163
gpu_radix_sort_opt_2,4194304,0.01667,1.479
bitonic_sort,4194304,0.00203,12.136
thrust_sort,4194304,0.00062,39.783
radix_sort_tbb,4194304,0.00514,4.756
gpu_radix_sort_opt_2,4194304,0.01668,1.465
bitonic_sort,4194304,0.00203,12.032
thrust_sort,4194304,0.00063,39.110
radix_sort_tbb,4194304,0.00433,5.697
gpu_radix_sort_opt_2,4194304,0.01667,1.479
bitonic_sort,4194304,0.00205,12.013
thrust_sort,4194304,0.00062,40.029
radix_sort_tbb,4194304,0.00396,7.220
gpu_radix_sort_opt_2,4194304,0.01671,1.713
bitonic_sort,4194304,0.00203,14.091
thrust_sort,4194304,0.00063,45.300
radix_sort_tbb,4194304,0.00467,5.213
gpu_radix_sort_opt_2,4194304,0.01668,1.460
bitonic_sort,4194304,0.00203,11.994
thrust_sort,4194304,0.00061,39.616
radix_sort_tbb,4194304,0.00353,7.006
gpu_radix_sort_opt_2,4194304,0.01668,1.482
bitonic_sort,4194304,0.00203,12.158
thrust_sort,4194304,0.00062,40.060
radix_sort_tbb,4194304,0.00456,5.333
gpu_radix_sort_opt_2,4194304,0.01670,1.456
bitonic_sort,4194304,0.00203,11.971
thrust_sort,4194304,0.00062,38.986
radix_sort_tbb,4194304,0.00515,4.809
gpu_radix_sort_opt_2,4194304,0.01669,1.485
bitonic_sort,4194304,0.00203,12.182
thrust_sort,4194304,0.00071,34.809
radix_sort_tbb,4194304,0.00331,8.122
gpu_radix_sort_opt_2,4194304,0.01669,1.612
bitonic_sort,4194304,0.00203,13.232
thrust_sort,4194304,0.00062,43.312
radix_sort_tbb,4194304,0.00354,7.521
gpu_radix_sort_opt_2,4194304,0.01671,1.595
bitonic_sort,4194304,0.00203,13.117
thrust_sort,4194304,0.00062,43.132
radix_sort_tbb,4194304,0.00475,5.461
gpu_radix_sort_opt_2,4194304,0.01668,1.556
bitonic_sort,4194304,0.00203,12.772
thrust_sort,4194304,0.00061,42.259
radix_sort_tbb,4194304,0.00393,6.617
gpu_radix_sort_opt_2,4194304,0.01667,1.560
bitonic_sort,4194304,0.00203,12.804
thrust_sort,4194304,0.00062,41.763
radix_sort_tbb,4194304,0.00341,7.857
gpu_radix_sort_opt_2,4194304,0.01670,1.603
bitonic_sort,4194304,0.00203,13.169
thrust_sort,4194304,0.00062,43.153
radix_sort_tbb,4194304,0.00342,7.850
gpu_radix_sort_opt_2,4194304,0.01669,1.608
bitonic_sort,4194304,0.00203,13.211
thrust_sort,4194304,0.00061,43.638
radix_sort_tbb,4194304,0.00389,6.874
gpu_radix_sort_opt_2,4194304,0.01668,1.604
bitonic_sort,4194304,0.00203,13.176
thrust_sort,4194304,0.00062,43.304
radix_sort_tbb,4194304,0.00381,6.984
gpu_radix_sort_opt_2,4194304,0.01669,1.596
bitonic_sort,4194304,0.00206,12.950
thrust_sort,4194304,0.00061,43.320
radix_sort_tbb,4194304,0.00367,7.361
gpu_radix_sort_opt_2,4194304,0.01667,1.620
bitonic_sort,4194304,0.00205,13.181
thrust_sort,4194304,0.00061,44.044
radix_sort_tbb,4194304,0.00350,7.566
gpu_radix_sort_opt_2,4194304,0.01670,1.588
bitonic_sort,4194304,0.00203,13.051
thrust_sort,4194304,0.00061,43.264
radix_sort_tbb,4194304,0.00354,7.957
gpu_radix_sort_opt_2,4194304,0.01670,1.687
bitonic_sort,4194304,0.00203,13.866
thrust_sort,4194304,0.00062,45.595
radix_sort_tbb,4194304,0.00477,5.570
gpu_radix_sort_opt_2,4194304,0.01669,1.592
bitonic_sort,4194304,0.00203,13.070
thrust_sort,4194304,0.00063,42.419
radix_sort_tbb,4194304,0.00393,6.729
gpu_radix_sort_opt_2,4194304,0.01667,1.586
bitonic_sort,4194304,0.00203,13.007
thrust_sort,4194304,0.00062,42.725
radix_sort_tbb,4194304,0.00365,7.710
gpu_radix_sort_opt_2,4194304,0.01674,1.680
bitonic_sort,4194304,0.00205,13.738
thrust_sort,4194304,0.00062,45.207
